Slide Number,Topic,Subject,Title,Category,Filename
1,Course Framing,,CISP 400,Section Divider,source_pages/slide-01.png
2,Course Framing,,Agenda,Agenda,source_pages/slide-02.png
3,Course Framing,,Agenda,Agenda,source_pages/slide-03.png
4,C++ Memory Model and Pointer Review,C++ Memory Model and Pointer Review,Big Idea,Opening Question,source_pages/slide-04.png
5,C++ Memory Model and Pointer Review,C++ Memory Model and Pointer Review,Direct Memory Access,Image,source_pages/slide-05.png
6,C++ Memory Model and Pointer Review,C++ Memory Model and Pointer Review,Consider,Image,source_pages/slide-06.png
7,C++ Memory Model and Pointer Review,C++ Memory Model and Pointer Review,Advantages,Process Pattern,source_pages/slide-07.png
8,C++ Memory Model and Pointer Review,C++ Memory Model and Pointer Review,Advantages,Process Pattern,source_pages/slide-08.png
9,C++ Memory Model and Pointer Review,C++ Memory Model and Pointer Review,Objective for Today,Progression Map,source_pages/slide-09.png
10,C++ Memory Model and Pointer Review,C++ Memory Model and Pointer Review,Lightning Review,Image,source_pages/slide-10.png
11,C++ Memory Model and Pointer Review,C++ Memory Model and Pointer Review,Lightning Review Questions,Image,source_pages/slide-11.png
12,C++ Memory Model and Pointer Review,C++ Memory Model and Pointer Review,Pointer to a Constant,Image,source_pages/slide-12.png
13,C++ Memory Model and Pointer Review,C++ Memory Model and Pointer Review,Sending a Pointer Variable,Image,source_pages/slide-13.png
14,C++ Memory Model and Pointer Review,C++ Memory Model and Pointer Review,Returning a Pointer Variable,Image,source_pages/slide-14.png
15,Desk Check,,Desk Check,Demonstration,source_pages/slide-15.png
16,Desk Check,,Exercise Goals,Appendix - Practice,source_pages/slide-16.png
17,Desk Check,,Desk Check Exercise,Appendix - Practice,source_pages/slide-17.png
18,Desk Check,,<Desk Check Output>,Appendix - Practice,source_pages/slide-18.png
19,Desk Check,,<Desk Check Output>,Appendix - Practice,source_pages/slide-19.png
20,Dynamic Memory Allocation,Dynamic Memory Allocation,10.9 Dynamic Memory Allocation,Section Divider,source_pages/slide-20.png
21,Dynamic Memory Allocation,Dynamic Memory Allocation,Problem with Arrays,Opening Question,source_pages/slide-21.png
22,Dynamic Memory Allocation,Dynamic Memory Allocation,Stack Size Limitation,Image,source_pages/slide-22.png
23,Dynamic Memory Allocation,Dynamic Memory Allocation,Access to the Heap,Image,source_pages/slide-23.png
24,Dynamic Memory Allocation,Dynamic Memory Allocation,delete and delete[],Image,source_pages/slide-24.png
25,Dynamic Memory Allocation,Dynamic Memory Allocation,<Heap Allocation Example>,Image,source_pages/slide-25.png
26,Dynamic Memory Allocation,Dynamic Memory Allocation,<Heap Allocation Example>,Image,source_pages/slide-26.png
27,Dynamic Memory Allocation,Dynamic Memory Allocation,<Heap Allocation Example>,Image,source_pages/slide-27.png
28,Dynamic Memory Allocation,Dynamic Memory Allocation,<Heap Allocation Example>,Image,source_pages/slide-28.png
29,Dynamic Memory Allocation,Dynamic Memory Allocation,Stack Variables and Pointer Access,Image,source_pages/slide-29.png
30,Dynamic Memory Allocation,Dynamic Memory Allocation,Heap Variables and Pointer Access,Image,source_pages/slide-30.png
31,Dynamic Memory Allocation,Dynamic Memory Allocation,Advantages of Heap Variables,Process Pattern,source_pages/slide-31.png
32,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,But Is This Enough?,Section Divider,source_pages/slide-32.png
33,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,Image,source_pages/slide-33.png
34,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,<Pseudo-Dynamic Array Example>,Image,source_pages/slide-34.png
35,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,A Step Closer,Image,source_pages/slide-35.png
36,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,Algorithm to Create Pseudo-Dynamic Arrays,Process Pattern,source_pages/slide-36.png
37,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,Build a Real Dynamic Array,Image,source_pages/slide-37.png
38,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,Desk Check,Demonstration,source_pages/slide-38.png
39,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,Exercise Goals,Demonstration,source_pages/slide-39.png
40,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,Desk Check Exercise,Demonstration,source_pages/slide-40.png
41,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,<Desk Check Output>,Image,source_pages/slide-41.png
42,Pseudo-Dynamic Arrays,Pseudo-Dynamic Arrays,<Desk Check Output>,Image,source_pages/slide-42.png
43,Real Dynamic Arrays,Real Dynamic Arrays,How Do We Create a Real Dynamic Array?,Section Divider,source_pages/slide-43.png
44,Real Dynamic Arrays,Real Dynamic Arrays,<Dynamic Array Example>,Image,source_pages/slide-44.png
45,Real Dynamic Arrays,Real Dynamic Arrays,<Dynamic Array Example>,Image,source_pages/slide-45.png
46,Real Dynamic Arrays,Real Dynamic Arrays,The Big Idea,Opening Question,source_pages/slide-46.png
47,Real Dynamic Arrays,Real Dynamic Arrays,Algorithm for a Dynamic Array,Process Pattern,source_pages/slide-47.png
48,Real Dynamic Arrays,Real Dynamic Arrays,Algorithm for Increasing a Dynamic Array,Process Pattern,source_pages/slide-48.png
49,Real Dynamic Arrays,Real Dynamic Arrays,<Increase Example>,Image,source_pages/slide-49.png
50,Real Dynamic Arrays,Real Dynamic Arrays,Algorithm for Decreasing a Dynamic Array,Process Pattern,source_pages/slide-50.png
51,Real Dynamic Arrays,Real Dynamic Arrays,<Decrease Example>,Image,source_pages/slide-51.png
52,Real Dynamic Arrays,Real Dynamic Arrays,Program This,Image,source_pages/slide-52.png
53,Programming Exercise,,Exercise Goals,Appendix - Practice,source_pages/slide-53.png
54,Programming Exercise,,Programming Exercise,Appendix - Practice,source_pages/slide-54.png
55,Lecture Wrap-Up,,What's This Section About?,Section Divider,source_pages/slide-55.png
56,Lecture Wrap-Up,,Agenda,Agenda,source_pages/slide-56.png
57,Lecture Wrap-Up,,Big Idea,Opening Question,source_pages/slide-57.png
58,Lecture Wrap-Up,,Direct Memory Access,Image,source_pages/slide-58.png
59,Lecture Wrap-Up,,Consider,Image,source_pages/slide-59.png
60,Lecture Wrap-Up,,Advantages,Process Pattern,source_pages/slide-60.png
61,Lecture Wrap-Up,,Advantages,Process Pattern,source_pages/slide-61.png
62,Lecture Wrap-Up,,Objective for Today,Progression Map,source_pages/slide-62.png
63,Lecture Wrap-Up,,<Review Slide>,Image,source_pages/slide-63.png
64,Lecture Wrap-Up,,Agenda,Agenda,source_pages/slide-64.png
65,Lecture Wrap-Up,,Homework 1 Peer Review Due Sunday,Demonstration,source_pages/slide-65.png
