Slide Number,Topic,Subject,Title,Category,Filename
66,Desk Check,,No Class Next Week,Section Divider,source_pages/slide-66.png
67,Desk Check,,Desk Check,Appendix - Practice,source_pages/slide-67.png
68,Desk Check,,Exercise Goals,Appendix - Practice,source_pages/slide-68.png
69,Desk Check,,Desk Check Exercise,Appendix - Practice,source_pages/slide-69.png
70,Desk Check,,<Desk Check Output>,Appendix - Practice,source_pages/slide-70.png
71,Desk Check,,<Desk Check Output>,Appendix - Practice,source_pages/slide-71.png
72,Homework Peer Review,,Homework 1 Peer Review,Appendix - Practice,source_pages/slide-72.png
73,Homework Peer Review,,Homework Debrief,Appendix - Practice,source_pages/slide-73.png
74,Homework Peer Review,,Process,Appendix - Practice,source_pages/slide-74.png
75,Homework Peer Review,,Debrief,Appendix - Practice,source_pages/slide-75.png
