Slide Number,Topic,Subject,Title,Category,Filename
1,Templates Overview,,Templates Overview,Agenda,
2,Templates Overview,,Templates Overview,Agenda,
3,Templates Overview,,Templates Overview,Agenda,
4,Templates Overview,,Templates Overview,Agenda,
5,Templates Overview,,Templates Overview,Agenda,
6,Function Templates,Function Templates,Function Templates,Define,
7,Function Templates,Function Templates,Function Templates,Define,
8,Function Templates,Function Templates,Function Templates,Define,
9,Function Templates,Function Templates,Function Templates,Define,
10,Function Templates,Function Templates,Function Templates,Define,
11,Function Templates,Function Templates,Function Templates,Define,
12,Function Templates,Function Templates,Function Templates,Define,
13,Function Templates,Function Templates,Function Templates,Define,
14,Function Templates,Function Templates,Function Templates,Define,
15,Function Templates,Function Templates,Function Templates,Define,
16,Project Preflight,,Project Preflight,Appendix - Practice,
17,Project Preflight,,Project Preflight,Appendix - Practice,
18,Project Preflight,,Project Preflight,Appendix - Practice,
19,Project Preflight,,Project Preflight,Appendix - Practice,
20,Project Preflight,,Project Preflight,Appendix - Practice,
21,Project Preflight,,Project Preflight,Appendix - Practice,
22,Template Motivation,,Template Motivation,Decision Point,
23,Template Motivation,,Template Motivation,Decision Point,
24,Template Motivation,,Template Motivation,Decision Point,
25,Template Motivation,,Template Motivation,Decision Point,
26,Template Motivation,,Template Motivation,Decision Point,
27,Template Context,,Template Context,Define,
28,Template Context,,Template Context,Define,
29,Template Context,,Template Context,Define,
30,Template Context,,Template Context,Define,
31,Template Context,,Template Context,Define,
32,Template Context,,Template Context,Define,
33,Template Context,,Template Context,Define,
34,Desk Check Exercise,,Desk Check Exercise,Appendix - Practice,
35,Desk Check Exercise,,Desk Check Exercise,Appendix - Practice,
36,Multiple Template Arguments,Template Arguments,Multiple Template Arguments,Define,
37,Multiple Template Arguments,Template Arguments,Multiple Template Arguments,Define,
38,Multiple Template Arguments,Template Arguments,Multiple Template Arguments,Define,
39,Multiple Template Arguments,Template Arguments,Multiple Template Arguments,Define,
40,Multiple Template Arguments,Template Arguments,Multiple Template Arguments,Define,
41,Multiple Template Arguments,Template Arguments,Multiple Template Arguments,Define,
42,Multiple Template Arguments,Template Arguments,Multiple Template Arguments,Define,
43,Multiple Template Arguments,Template Arguments,Multiple Template Arguments,Define,
44,Multiple Template Arguments,Template Arguments,Multiple Template Arguments,Define,
45,Multiple Template Arguments,Template Arguments,Multiple Template Arguments,Define,
46,Template Review,,Template Review,Appendix - Practice,
47,Template Review,,Template Review,Appendix - Practice,
48,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
49,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
50,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
51,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
52,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
53,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
54,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
55,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
56,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
57,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
58,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
59,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
60,Peer Review and Advice,,Peer Review and Advice,Appendix - Practice,
61,Program Maintenance,Generic Program Maintenance,Program Maintenance,Define,
62,Program Maintenance,Generic Program Maintenance,Program Maintenance,Define,
63,Program Maintenance,Generic Program Maintenance,Program Maintenance,Define,
64,Program Maintenance,Generic Program Maintenance,Program Maintenance,Define,
65,Program Maintenance,Generic Program Maintenance,Program Maintenance,Define,
66,Program Maintenance,Generic Program Maintenance,Program Maintenance,Define,
67,Lightning Review,,Lightning Review,Appendix - Practice,
68,Lightning Review,,Lightning Review,Appendix - Practice,
69,Template Options and Practice,Template Specialization,Template Context,Define,
70,Template Options and Practice,Template Specialization,Template Context,Define,
71,Template Options and Practice,Template Specialization,Template Context,Define,
72,Template Options and Practice,Template Specialization,Template Options and Practice,Decision Point,
73,Template Options and Practice,Template Specialization,Template Options and Practice,Decision Point,
74,Template Options and Practice,Template Specialization,Template Options and Practice,Decision Point,
75,Template Options and Practice,Template Specialization,Template Options and Practice,Decision Point,
76,Template Options and Practice,Template Specialization,Template Options and Practice,Decision Point,
77,Template Options and Practice,Template Specialization,Template Options and Practice,Decision Point,
78,Template Options and Practice,Template Specialization,Template Options and Practice,Decision Point,
79,Template Options and Practice,Template Specialization,Template Options and Practice,Decision Point,
80,Template Options and Practice,Template Specialization,Template Options and Practice,Decision Point,
