Slide Number,Topic,Subject,Title,Category,Filename
1,Course Framing,,CISP 400 Object-Oriented Programming,Title,
2,Course Framing,,Last Time,Agenda,
3,Course Framing,,Today's Agenda,Agenda,
4,Course Framing,,Class Exercise - Debrief,Title,
5,Programming Exercise: Dynamic Arrays,,rdaa.cpp,Code Block,../p400_lecture_03.01/cpp/rdaa.cpp
6,Programming Exercise: Dynamic Arrays,,<Xrdaa.cpp>,Code Block,../p400_lecture_03.01/cpp/Xrdaa.cpp
7,Programming Exercise: Dynamic Arrays,,<Output>,Image,XrdaaOut.png
8,Programming Exercise: Dynamic Arrays,,<Xrdaa2.cpp>,Code Block,../p400_lecture_03.02/cpp/Xrdaa2.cpp
9,Programming Exercise: Dynamic Arrays,,<Xrdaa2 Output>,Image,Xrdaa2.png
10,Programming Exercise: Dynamic Arrays,,Program This - Debrief,Appendix - Practice,source_pages/slide-012.png
11,Programming Exercise: Dynamic Arrays,,Exercise Goals,Appendix - Practice,source_pages/slide-013.png
12,Programming Exercise: Dynamic Arrays,,Programming Exercise,Appendix - Practice,source_pages/slide-014.png
13,Programming Exercise: Dynamic Arrays,,<Exercise Workspace>,Appendix - Practice,source_pages/slide-015.png
14,Programming Exercise: Dynamic Arrays,,<Exercise Workspace>,Appendix - Practice,source_pages/slide-016.png
15,Programming Exercise: Dynamic Arrays,,<Exercise Workspace>,Appendix - Practice,source_pages/slide-017.png
16,Programming Exercise: Dynamic Arrays,,<Exercise Workspace>,Appendix - Practice,source_pages/slide-018.png
17,Programming Exercise: Dynamic Arrays,,<Exercise Workspace>,Appendix - Practice,source_pages/slide-019.png
18,Structures,Structures,7.12 Structures,Define,source_pages/slide-020.png
19,Structures,Structures,The Problem,Define,source_pages/slide-021.png
20,Structures,Structures,<Problem Context>,Define,source_pages/slide-022.png
21,Structures,Structures,Grouping Variables,Define,source_pages/slide-023.png
22,Structures,Structures,Solution - Struct,Define,source_pages/slide-024.png
23,Structures,Structures,<Struct Example>,Define,source_pages/slide-025.png
24,Structures,Structures,<Struct Example>,Define,source_pages/slide-026.png
25,Structures,Structures,Accessing a Struct,Define,source_pages/slide-027.png
26,Structures,Structures,Initializing a Struct,Define,source_pages/slide-028.png
27,Structures,Structures,Initialization List,Define,source_pages/slide-029.png
28,Structures,Structures,Constructor,Define,source_pages/slide-030.png
29,Structures,Structures,Questions,Define,source_pages/slide-031.png
30,Classes and Objects,Classes and Objects,7.x Crash Course in Building Objects,Define,source_pages/slide-032.png
31,Classes and Objects,Classes and Objects,How to Construct an Object,Define,source_pages/slide-033.png
