Slide Number,Topic,Subject,Title,Category,Filename
1,Course Framing,,CISP 400,Agenda,
2,Course Framing,,Agenda,Agenda,
3,CISP 360 Review: Variables and Conditionals,Variables and Conditionals,Old Friends,Define,
4,CISP 360 Review: Variables and Conditionals,Variables and Conditionals,Variables,Define,
5,CISP 360 Review: Variables and Conditionals,Variables and Conditionals,4.2 The if Statement,Define,
6,CISP 360 Review: Variables and Conditionals,Variables and Conditionals,if Statement,Define,
7,CISP 360 Review: Variables and Conditionals,Variables and Conditionals,if/else Statement,Define,
8,CISP 360 Review: Variables and Conditionals,Variables and Conditionals,if/else if Statement,Define,
9,Iteration,Iteration,Iteration,Define,
10,Iteration,Iteration,<Untitled Slide 10>,Section Divider,
11,Iteration,Iteration,<Untitled Slide 11>,Section Divider,
12,Iteration,Iteration,<Untitled Slide 12>,Section Divider,
13,Functions,Functions,Functions,Define,
14,Functions,Functions,Function Prototypes,Define,
15,Programming Exercise,,Programming Exercise,Appendix - Practice,
16,Programming Exercise,,Exercise Goals,Appendix - Practice,
17,Programming Exercise,,Programming Exercise,Appendix - Practice,
18,Programming Exercise,,Programming Exercise Debriefing,Appendix - Practice,
19,Programming Exercise,,Programming Exercise,Appendix - Practice,
20,Programming Exercise,,<Untitled Slide 20>,Section Divider,
21,Programming Exercise,,<Untitled Slide 21>,Section Divider,
22,Programming Exercise,,Programming Exercise,Appendix - Practice,
23,Programming Exercise,,Homework-Style Specification,Define,
24,Programming Exercise,,<Untitled Slide 24>,Section Divider,
25,Programming Exercise,,Debrief,Appendix - Practice,
26,Pointers Preview,Pointers Preview,What's This Section About?,Agenda,
27,Pointers Preview,Pointers Preview,Agenda,Agenda,
28,Pointers Preview,Pointers Preview,<Untitled Slide 28>,Section Divider,
29,Pointers Preview,Pointers Preview,Pointers Agenda,Agenda,
30,Desk Check,,Desk Check Exercise,Appendix - Practice,
31,Desk Check,,Exercise Goals,Appendix - Practice,
32,Desk Check,,Desk Check Exercise,Appendix - Practice,
33,Coding for Reuse,Coding for Reuse,<Untitled Slide 33>,Section Divider,
34,Coding for Reuse,Coding for Reuse,Coding for Reuse,Define,
35,Coding for Reuse,Coding for Reuse,Ideas for Writing Reusable Software,Define,
36,Coding for Reuse,Coding for Reuse,Ideas for Writing Reusable Software,Define,
37,Success Team Bingo,,Success Team Bingo,Appendix - Practice,
38,Success Team Bingo,,Exercise Goals,Appendix - Practice,
39,Success Team Bingo,,<Untitled Slide 39>,Section Divider,
40,Success Team Bingo,,Debrief,Appendix - Practice,
41,References,,References,Appendix - AI Search Terms,
42,Logging Function,Logging Function,A Logging Function,Define,
43,Logging Function,Logging Function,What?,Define,
44,Logging Function,Logging Function,Why?,Decision Point,
45,Logging Function,Logging Function,When? / Use Case,Decision Point,
46,Logging Function,Logging Function,How?,Define,
47,Logging Function,Logging Function,Limitations,Decision Point,
48,Logging Function,Logging Function,<Untitled Slide 48>,Section Divider,
