Slide Number,Topic,Subject,Title,Category,Filename
1,Course Framing,,,Agenda,
2,Course Framing,,,Agenda,
3,Course Framing,,,Agenda,
4,Course Framing,,,Agenda,
5,Course Framing,,,Define,
6,Course Framing,,,Define,
7,Course Framing,,,Agenda,
8,Conversion Constructors,Conversion Constructors,Conversion Constructors,Define,
9,Conversion Constructors,Conversion Constructors,Conversion Constructors,Define,
10,Conversion Constructors,Conversion Constructors,Conversion Constructors,Define,
11,Conversion Constructors,Conversion Constructors,Conversion Constructors,Define,
12,Conversion Constructors,Conversion Constructors,Conversion Constructors,Appendix - Practice,
13,Conversion Constructors,Conversion Constructors,Conversion Constructors,Appendix - Practice,
14,Conversion Constructors,Conversion Constructors,Conversion Constructors,Appendix - Practice,
15,Conversion Constructors,Conversion Constructors,Conversion Constructors,Appendix - Practice,
16,Conversion Constructors,Conversion Constructors,Conversion Constructors,Define,
17,Conversion Constructors,Conversion Constructors,Conversion Constructors,Appendix - Practice,
18,Conversion Constructors,Conversion Constructors,Conversion Constructors,Summary,
19,Conversion Constructors,Conversion Constructors,Conversion Constructors,Agenda,
20,Conversion Constructors,Conversion Constructors,Conversion Constructors,Agenda,
21,First-Class Objects,First-Class Objects,First-Class Objects,Agenda,
22,First-Class Objects,First-Class Objects,First-Class Objects,Define,
23,First-Class Objects,First-Class Objects,First-Class Objects,Agenda,
24,First-Class Objects,First-Class Objects,First-Class Objects,Define,
25,First-Class Objects,First-Class Objects,First-Class Objects,Define,
26,First-Class Objects,First-Class Objects,First-Class Objects,Define,
27,First-Class Objects,First-Class Objects,First-Class Objects,Define,
28,First-Class Objects,First-Class Objects,First-Class Objects,Define,
29,First-Class Objects,First-Class Objects,First-Class Objects,Decision Point,
30,First-Class Objects,First-Class Objects,First-Class Objects,Define,
31,First-Class Objects,First-Class Objects,First-Class Objects,Define,
32,First-Class Objects,First-Class Objects,First-Class Objects,Define,
33,Object Conversions,Object Conversions,Object Conversions,Define,
34,Object Conversions,Object Conversions,Object Conversions,Define,
35,Object Conversions,Object Conversions,Object Conversions,Define,
36,Object Conversions,Object Conversions,Object Conversions,Define,
37,Object Conversions,Object Conversions,Object Conversions,Define,
38,Object Conversions,Object Conversions,Object Conversions,Demonstration,
39,Object Conversions,Object Conversions,Object Conversions,Define,
40,Object Conversions,Object Conversions,Object Conversions,Demonstration,
41,Object Conversions,Object Conversions,Object Conversions,Define,
42,Object Conversions,Object Conversions,Object Conversions,Define,
43,Object Conversions,Object Conversions,Object Conversions,Define,
44,Object Conversions,Object Conversions,Object Conversions,Define,
45,Object Conversions,Object Conversions,Object Conversions,Define,
46,Object Conversions,Object Conversions,Object Conversions,Define,
47,Object Conversions,Object Conversions,Object Conversions,Define,
48,Object Conversions,Object Conversions,Object Conversions,Define,
49,Object Conversions,Object Conversions,Object Conversions,Define,
50,Object Conversions,Object Conversions,Object Conversions,Demonstration,
51,Conversion Safety,Conversion Safety,Conversion Safety,Define,
52,Conversion Safety,Conversion Safety,Conversion Safety,Demonstration,
53,Conversion Safety,Conversion Safety,Conversion Safety,Define,
54,Conversion Safety,Conversion Safety,Conversion Safety,Define,
55,Conversion Safety,Conversion Safety,Conversion Safety,Decision Point,
56,Conversion Safety,Conversion Safety,Conversion Safety,Define,
57,Practice and Review,,,Agenda,
58,Practice and Review,,,Define,
59,Practice and Review,,,Appendix - Practice,
60,Practice and Review,,,Appendix - Practice,
61,Practice and Review,,,Appendix - Practice,
62,Practice and Review,,,Decision Point,
63,Practice and Review,,,Define,
64,Practice and Review,,,Agenda,
